id,title,flag,score,n_stmt,n_proof,theorem,lemma,corollary,proposition,claim,definition,observation,fact,conjecture,np_hard,lower_bound,upper_bound,big_o,omega,theta,approx_ratio,whp,regret,dp,invariant,convergence,competitive,worst_case,sketch,cost_model,cardinality,learned,pdf,source
sigmod26-314,Finding Heavy-Hitters with Optimal State Changes,True,63,25,18,13,8,1,3,0,0,0,0,0,0,6,2,3,13,19,18,7,0,0,0,0,0,0,3,0,0,0,ok,upw|acm403
sigmod26-109,Fine-Grained Dichotomies for Conjunctive Queries with Minimum or Maximum,True,61,20,20,1,17,0,0,0,1,1,0,0,0,10,3,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,ok,upw
sigmod26-298,Differentially Private Explanations for Clusters,True,61,26,17,2,4,2,4,0,14,0,0,0,0,1,5,7,1,1,0,0,0,2,0,0,0,0,0,0,0,0,ok,arxiv
sigmod26-166,Near-Optimality for Single-Source Personalized PageRank,True,60,18,20,1,12,0,0,0,5,0,0,0,0,49,32,128,59,15,8,9,0,0,2,1,0,10,0,0,0,0,ok,s2oa
sigmod26-038,Bounding the Fragmentation of B-Trees Subject to Batched Insertions,True,57,22,17,1,16,1,0,0,4,0,0,0,0,19,2,0,0,1,0,0,0,0,8,3,0,0,0,0,0,0,ok,arxiv
sigmod26-244,Towards Parameterized Hardness on Maintaining Conjunctive Queries,True,57,30,13,9,13,0,2,0,12,0,0,5,0,35,9,120,15,0,0,1,0,0,0,0,0,2,0,0,0,0,ok,arxiv
sigmod26-196,Privacy Loss of Noise Perturbation via Concentration Analysis of A Product Measure,True,56,30,12,3,10,7,6,0,7,3,0,0,0,2,9,3,0,5,1,0,0,4,1,0,0,0,0,0,0,0,ok,arxiv
sigmod26-178,Optimal Pure Differentially Private Sparse Histograms in Deterministic Linear Time,True,54,30,11,11,7,1,6,0,11,0,3,0,0,4,9,97,1,2,8,1,0,23,3,0,0,7,0,0,0,0,ok,arxiv
sigmod26-247,"Unbiased Insights: Optimal Streaming Algorithms for ℓ p Sampling, the Forget Model, and Beyond",True,54,30,11,9,16,2,0,0,2,0,1,0,0,14,3,0,17,8,26,5,0,0,0,0,0,0,21,0,0,0,ok,upw|acm403
sigmod26-350,Query Answering Under Volume-Based Diversity Functions,True,53,11,20,1,5,0,1,0,4,0,0,0,1,0,0,25,0,0,38,0,0,0,0,0,0,0,4,0,1,0,ok,arxiv
sigmod26-357,Representation Obliviousness and Pseudodeterminism in Streaming Algorithms,True,53,25,13,5,4,0,0,4,9,2,1,0,0,32,1,0,16,0,4,5,0,0,1,0,0,0,11,0,1,0,ok,upw|acm403
sigmod26-177,Optimal Enumeration of Regular Pattern Matches,True,52,24,14,7,13,0,0,0,2,2,0,0,0,0,0,155,1,0,0,0,0,0,1,0,0,15,1,0,0,0,ok,upw|acm403
sigmod26-241,Tight Lower Bounds for ℓ 2 Sampling,True,51,21,14,5,7,0,6,0,3,0,0,0,0,27,6,0,46,3,4,0,0,0,0,0,0,0,83,0,0,0,ok,upw|acm403
sigmod26-264,A Unifying Algorithm for Hierarchical Queries,True,49,30,9,6,2,2,3,4,13,0,0,0,0,0,1,18,0,0,5,0,0,0,4,0,0,2,0,0,0,0,ok,arxiv
sigmod26-011,Acyclic Conjunctive Regular Path Queries are no Harder than Corresponding Conjunctive Queries,True,47,14,16,2,1,0,9,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,ok,upw|acm403
sigmod26-375,Tractability Frontiers of the Shapley Value for Aggregate Conjunctive Queries,True,47,16,15,3,10,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,ok,arxiv
sigmod26-259,A Bouquet of Results on Maximum Range Sum: General Techniques and Hardness Reductions,True,46,14,15,6,6,0,0,1,1,0,0,0,0,14,3,66,20,19,33,14,0,0,0,0,0,0,0,0,0,0,ok,arxiv
sigmod26-012,Acyclic Graph Pattern Counting under Local Differential Privacy,True,44,15,14,8,6,0,0,0,1,0,0,0,0,3,8,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,ok,arxiv
sigmod26-053,Coresets for Robust Query Optimization,True,44,15,13,4,11,0,0,0,0,0,0,0,1,4,9,0,0,4,5,3,3,0,0,0,1,16,1,4,58,0,ok,upw|acm403
sigmod26-153,LSHAlign: All-Pair Near-Duplicate Text Alignment via Locality-Sensitive Hashing,True,44,16,14,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,0,ok,upw|acm403
sigmod26-015,"AeroSketch: Near-Optimal Time Matrix Sketch Framework for Persistent, Sliding Window, and Distributed Streams",True,42,20,10,8,5,3,3,0,0,0,1,0,0,10,13,100,1,3,23,2,0,0,0,2,0,2,79,0,0,0,ok,arxiv
sigmod26-185,PANDAExpress: A Simpler and Faster PANDA Algorithm,True,42,22,10,4,4,5,4,0,5,0,0,0,0,0,3,24,0,1,0,0,0,0,6,0,0,8,0,0,5,0,ok,upw
sigmod26-079,DP-S4S: Accurate and Scalable Select-Join-Aggregate Query Processing with User-Level Differential Privacy,True,41,30,5,0,29,2,0,0,6,0,0,0,0,2,12,31,3,0,0,1,0,14,0,0,0,5,1,0,0,0,ok,arxiv
sigmod26-233,Succinct Structure Representations for Efficient Query Optimization,True,41,23,8,11,8,1,1,0,2,0,0,0,1,0,2,19,0,0,1,0,0,0,0,0,0,5,2,8,21,0,ok,arxiv
sigmod26-303,Effective Clustering for Large Multi-Relational Graphs,True,41,13,13,4,7,1,0,0,1,0,0,0,3,0,1,35,0,0,9,0,0,0,3,3,0,0,6,0,0,0,ok,arxiv
sigmod26-155,Maintaining Queries under Updates Using Heavy-Light Partitioning of the Input Relations,True,40,22,8,0,4,0,5,0,13,0,0,0,0,1,18,2,3,2,11,0,0,0,2,0,0,10,0,0,0,0,ok,arxiv
sigmod26-337,N2E: A General Framework to Reduce Node-Differential Privacy to Edge-Differential Privacy for Graph Analytics,True,40,19,10,2,13,0,0,0,4,0,0,0,0,0,30,87,0,0,24,1,0,8,0,0,0,9,0,0,0,0,ok,arxiv
sigmod26-290,Codd's Theorem for Databases over Semirings,True,39,25,7,3,1,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,arxiv
sigmod26-004,A Logical View of GNN-Style Computation and the Role of Activation Functions,True,38,21,8,7,2,2,8,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,ok,upw|acm403
sigmod26-154,Maintaining Biconnected Components in Streaming Graphs,True,38,22,8,3,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ok,upw|acm403
sigmod26-227,Sparsity-Dimension Trade-Offs for Oblivious Subspace Embeddings,True,38,24,6,4,10,2,0,6,2,0,0,0,0,51,4,36,87,28,1,5,0,0,4,0,0,0,1,0,0,0,ok,arxiv
sigmod26-231,Sublime: Sublinear Error & Space for Unbounded Skewed Streams,True,38,11,13,2,7,0,0,2,0,0,0,0,0,9,9,16,3,10,0,0,0,0,0,0,0,3,141,0,3,0,ok,arxiv
sigmod26-306,Efficient Defective Clique Enumeration and Search with Worst-Case Optimal Search Space,True,38,18,9,4,5,0,0,2,6,1,0,0,3,2,19,45,7,1,0,0,0,0,0,0,0,29,0,0,0,0,ok,arxiv
sigmod26-372,Theoretically and Practically Efficient Maximum Biclique Search,True,38,21,7,9,11,0,0,0,1,0,0,0,4,4,40,0,0,0,1,0,0,0,0,0,0,12,5,0,2,0,ok,upw|acm403
sigmod26-102,Fast Estimation of Pairwise Biharmonic Distance on Graphs,True,37,16,10,4,9,2,0,0,1,0,0,0,0,0,0,0,0,3,13,0,0,0,9,3,0,0,0,0,0,0,ok,upw|acm403
sigmod26-278,Bag Semantics Query Containment: The CQ vs. UCQ Case and Other Stories,True,36,30,2,3,15,3,0,0,20,6,3,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,ok,arxiv
sigmod26-339,On the Expressiveness of Languages for Querying Property Graphs in Relational Databases,True,36,12,12,1,0,3,2,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,ok,arxiv
sigmod26-349,"Proximity Graphs for Similarity Search: Fast Construction, Lower Bounds, and Euclidean Separation",True,36,17,9,3,7,0,1,0,0,0,6,0,0,7,0,89,11,4,0,1,0,0,0,0,0,6,0,0,0,0,ok,arxiv
sigmod26-373,Time-Critical Influence Minimization via Node Blocking,True,35,26,3,7,15,0,0,0,4,0,0,0,5,5,4,8,0,0,53,0,0,0,0,0,0,2,0,0,0,0,ok,upw|acm403
sigmod26-382,Visual Template Inference for Data Extraction from Documents,True,35,14,10,6,0,0,2,0,6,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ok,arxiv
sigmod26-052,Constrained Shortest Path Finding on Terrain Surfaces,True,34,10,11,2,7,0,0,0,1,0,0,0,9,0,2,0,0,0,48,0,0,0,0,0,0,0,0,0,1,0,ok,upw|acm403
sigmod26-110,FIRAS: A Framework for Interval Range Search and Sampling,True,33,19,7,4,7,5,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,ok,upw|acm403
sigmod26-123,GPM: The Gaussian Pancake Mechanism for Planting Undetectable Backdoors in Differential Privacy,True,32,15,8,8,4,0,1,0,2,0,0,0,0,11,5,7,0,2,0,0,0,38,0,7,0,1,2,0,0,0,ok,upw
sigmod26-293,"Cut Costs, Not Accuracy: LLM-Powered Data Processing with Guarantees",True,32,30,0,3,37,1,4,0,5,0,0,0,0,9,14,61,0,0,9,15,0,0,0,0,0,13,0,0,0,0,ok,arxiv
sigmod26-189,Periodic Community Search in Temporal Graphs: Time Series-based Methods,True,31,19,6,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,upw|acm403
sigmod26-377,Triangle Counting in Hypergraph Streams: A Complete and Practical Approach,True,31,14,8,9,2,0,0,0,3,0,0,0,0,0,1,14,0,0,2,0,0,0,0,3,0,2,0,0,0,0,ok,arxiv
sigmod26-070,Deterministic Lower Bounds for k-Edge Connectivity in the Distributed Sketching Model,True,30,13,8,3,6,1,0,1,1,0,1,0,0,45,5,11,0,5,0,1,0,0,0,0,0,10,75,0,1,0,ok,upw
sigmod26-232,Subset Sampling over Joins,True,30,9,10,5,2,2,0,0,0,0,0,0,0,0,12,0,5,1,4,0,0,0,0,0,0,2,1,0,0,0,ok,upw
sigmod26-263,A General Framework for Per-record Differential Privacy,True,30,18,5,6,5,0,0,0,7,0,0,0,0,2,3,55,3,0,1,0,0,2,0,0,0,2,0,0,0,0,ok,arxiv
sigmod26-200,Querying Cohesive Subgraphs in Temporal Graphs,True,29,12,8,0,10,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,ok,upw|acm403
sigmod26-031,Balancing Global and Local: Representative Sampling for Large-Scale Vector Data,True,28,9,8,3,5,1,0,0,0,0,0,0,9,2,2,0,0,0,10,0,0,0,1,3,0,0,0,0,1,0,ok,upw|acm403
sigmod26-304,Efficient and Scalable Directed Densest Subgraph Discovery,True,28,13,6,8,1,2,0,0,2,0,0,0,2,17,1,1,1,0,54,1,0,0,0,17,0,1,9,0,0,0,ok,upw|acm403
sigmod26-094,Enumerating Graph Pattern Matches with ML Oracles,True,27,8,8,7,0,1,0,0,0,0,0,0,2,1,0,1,0,0,1,4,0,0,0,0,5,1,8,0,2,0,ok,upw|acm403
sigmod26-157,Mathematical Foundations of Poisoning Attacks on Linear Regression over Cumulative Distribution Functions,True,27,8,9,6,1,0,0,0,0,1,0,0,0,0,53,70,0,0,2,0,0,0,0,0,0,10,5,0,3,44,ok,upw|acm403
sigmod26-018,An Efficient Streaming Algorithm for Approximating Graphlet Distributions,True,26,12,6,4,3,0,0,0,1,0,4,0,0,6,2,77,5,9,4,6,0,0,0,0,0,0,0,0,0,0,ok,arxiv
sigmod26-141,Jaguar: A Primal Algorithm for Conjunctive Query Evaluation in Submodular-Width Time,True,26,9,8,1,0,0,1,7,0,0,0,0,0,8,10,45,4,0,0,0,0,0,31,0,0,1,0,0,17,0,ok,arxiv
sigmod26-150,LMSC: Local Sketch Modularity Optimisation for Size-Constrained Community Search in Networks,True,26,15,4,5,0,0,0,0,10,0,0,0,6,4,4,0,0,0,2,0,0,0,0,0,0,1,11,0,0,0,ok,upw|acm403
sigmod26-006,A Unified Framework for Dense Subgraph Maintenance over Dynamic Bipartite Graphs,True,25,8,7,5,1,2,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,ok,upw|acm403
sigmod26-049,Concurrent Composition for Differentially Private Continual Mechanisms,True,25,24,0,8,4,4,1,0,7,0,0,0,0,1,3,0,0,1,0,0,0,57,0,0,0,1,0,0,0,0,ok,upw|acm403
sigmod26-257,Zero-Redundancy Search for Bi-Components in Bipartite Graphs,True,25,13,6,2,4,0,0,0,7,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,ok,upw|acm403
sigmod26-355,Reliable and Private Utility Signaling for Data Markets,True,25,12,6,5,2,0,0,0,5,0,0,0,0,0,1,11,0,0,1,2,0,1,0,0,0,0,0,0,1,0,ok,arxiv
sigmod26-219,Shape-Agnostic Table Overlap Discovery: A Maximum Common Subhypergraph Approach,True,24,13,4,4,0,0,0,0,9,0,0,0,7,1,11,10,0,0,7,0,0,0,3,4,0,2,0,0,1,0,ok,arxiv
sigmod26-254,Weighted Set Multi-Cover on Bounded Universe and Applications in Package Recommendation,True,24,14,4,4,7,0,0,0,3,0,0,0,1,0,0,122,0,0,102,0,0,0,0,0,0,0,0,0,2,0,ok,arxiv
sigmod26-283,Budgeted Strong Community Search in Heterogeneous Graphs,True,24,8,7,4,2,1,0,0,1,0,0,0,5,0,15,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,ok,upw|acm403
sigmod26-294,DAG of DAGs: Order-Fairness Made Practical,True,24,8,8,3,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,upw|acm403
sigmod26-305,Efficient Approximate Nearest Neighbor Search via Hemi-Sphere Centroids Graph,True,24,8,7,3,3,0,0,0,2,0,0,0,0,1,4,0,0,0,5,0,0,0,0,5,0,2,0,0,0,0,ok,upw|acm403
sigmod26-081,Efficient Anchored Densest Subgraph Discovery: Improved Time Complexity and Practical Performance,True,23,9,6,5,1,1,0,0,2,0,0,0,0,21,0,3,0,0,45,0,0,0,0,25,0,0,8,0,0,0,ok,upw|acm403
sigmod26-142,Kangaroo: Efficient Lossless Floating-Point Compression via Dynamic Reference Selection,True,23,12,5,5,0,0,0,0,7,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,ok,upw|acm403
sigmod26-235,TaCo: Data-adaptive and Query-aware Subspace Collision for High-dimensional Approximate Nearest Neighbor Search,True,23,11,5,2,2,0,0,0,7,0,0,0,0,1,1,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,ok,arxiv
sigmod26-010,Accelerating Triangle-Connected Truss Community Search Across Heterogeneous Hardware,True,22,9,6,2,1,0,0,0,6,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,upw|acm403
sigmod26-137,Improving LZ4 for Effective Compression and Efficient Query,True,22,8,7,0,0,0,7,0,1,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,5,0,0,0,2,ok,upw|acm403
sigmod26-180,ORDER: Optimal Routing with Path Indexing in Exchange Graph [Data-Intensive & Data Science Application],True,22,5,7,1,2,0,0,0,2,0,0,0,1,1,0,0,0,1,3,0,0,0,3,0,0,1,2,0,0,0,ok,upw|acm403
sigmod26-073,Differentially Oblivious Multi-way Join,True,21,16,2,3,9,0,0,0,4,0,0,0,0,6,54,0,12,0,0,0,0,3,0,0,0,14,0,0,1,0,ok,upw|acm403
sigmod26-169,Nucleus Decomposition Revisited: An Efficient Counting-Based Approach,True,21,7,7,3,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,ok,upw|acm403
sigmod26-363,SplineSketch: Even More Accurate Quantiles with Error Guarantees,True,21,7,6,0,4,0,0,0,2,1,0,0,0,7,4,91,10,11,3,0,0,0,5,0,0,27,218,0,0,0,ok,arxiv
sigmod26-013,Adaptive Outlier Detection over Data Stream,True,20,8,5,2,3,0,0,0,3,0,0,0,0,10,7,25,0,0,1,0,0,0,0,0,0,3,0,1,1,0,ok,s2oa|upw|acm403
sigmod26-027,ASSS : Adaptive Stratified Sampling for Shapley-like Values,True,20,19,0,15,0,2,1,0,1,0,0,0,0,0,0,0,8,1,8,3,0,0,0,0,0,0,0,0,0,0,ok,upw|acm403
sigmod26-068,Defense against Poisoning Attacks under Shuffle-DP,True,20,9,5,4,4,0,0,0,1,0,0,0,0,1,6,115,1,2,0,0,0,1,0,0,0,12,0,0,0,0,ok,arxiv
sigmod26-151,Local Stability of Rankings,True,20,14,2,1,1,1,1,0,10,0,0,0,0,2,1,0,0,0,2,5,0,0,0,0,0,2,1,0,0,0,ok,arxiv
sigmod26-179,Order-based Algorithms for Efficient Core Maintenance in Large Bipartite Graphs,True,20,15,2,9,6,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,ok,upw|acm403
sigmod26-201,R ollbaccine : Herd Immunity against Storage Rollback Attacks in TEEs,True,20,13,3,1,3,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ok,arxiv
sigmod26-205,Recursive Querying of Neural Networks via Weighted Structures,True,20,15,1,8,2,0,2,0,2,0,0,1,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ok,upw|acm403
sigmod26-253,Weighted Fourier Factorizations: Optimal Gaussian Noise for Differentially Private Marginal and Product Queries,True,20,11,4,8,3,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,ok,upw|acm403
sigmod26-024,Approximate DBSCAN via Density-Biased Sampling and Kernel Density Estimation,True,19,6,5,0,5,0,0,0,1,0,0,0,5,6,0,0,1,0,16,1,0,0,0,0,0,4,0,0,0,0,ok,upw|acm403
sigmod26-214,Scalable Privacy-Preserving Shortest Path Distance Computation via 2-Hop Labeling in MPC,True,19,8,5,1,3,0,0,0,4,0,0,0,0,1,3,2,0,0,0,0,0,18,0,7,0,0,0,0,0,0,ok,upw|acm403
sigmod26-242,"To Adapt or Not to Adapt, That is the Ski Question",True,19,6,6,2,4,0,0,0,0,0,0,0,0,1,2,0,3,0,0,5,0,0,1,0,20,9,0,1,0,0,ok,upw|acm403
sigmod26-348,PrivAGS: Differentially Private Attributed Graph Synthesis,True,19,9,4,4,2,0,1,0,2,0,0,0,3,0,0,0,0,0,2,0,0,21,0,4,0,1,0,0,0,0,ok,upw|acm403
sigmod26-043,Causal Explanations for Disparate Trends: Where and Why?,True,18,9,4,0,0,0,1,0,8,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,ok,arxiv
sigmod26-127,HeteroFedSyn: Differentially Private Tabular Data Synthesis for Heterogeneous Federated Settings,True,18,12,3,6,0,0,0,0,6,0,0,0,0,0,3,16,1,0,0,1,0,4,0,2,0,4,0,0,0,0,ok,arxiv
sigmod26-190,PJsim: Towards Precise and Scalable Graph Similarity,True,18,2,7,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,21,0,0,0,0,31,0,0,0,0,0,0,ok,upw|acm403
sigmod26-362,SieveSketch: A Fine-grained and Adaptive Sketch Framework for Accurate Frequency Estimation,True,18,7,5,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,50,0,0,0,ok,upw|acm403
sigmod26-378,TRIM: Accelerating High-Dimensional Vector Similarity Search with Enhanced Triangle-Inequality-Based Pruning,True,18,7,5,4,1,0,0,0,2,0,0,0,0,83,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ok,arxiv
sigmod26-009,Accelerating Maximum Common Subgraph Computation by Exploiting Symmetries,True,17,7,4,3,2,0,0,0,2,0,0,0,4,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,ok,arxiv
sigmod26-128,High-Throughput k Nearest Neighbors Search in Road Networks,True,17,17,0,6,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,ok,upw|acm403
sigmod26-291,Continuous Subgraph Matching via Cost-Model-based Dynamic Vertex Dominance Embeddings,True,17,9,4,0,4,0,0,0,5,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,3,0,7,0,0,ok,arxiv
sigmod26-301,DRPQ: Distributed Evaluation of Regular Path Queries On Streaming Graphs,True,17,12,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,ok,upw|acm403
sigmod26-103,Fast-Convergent Proximity Graphs for Approximate Nearest Neighbor Search,True,16,9,3,1,4,0,0,0,4,0,0,0,0,0,1,70,3,0,1,0,0,0,0,13,0,7,0,0,0,0,ok,arxiv
sigmod26-195,Prism: Private Relational Data Synthesis with Language Models,True,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,6,0,ok,upw|acm403
sigmod26-224,Skyline Retrieval meets Set-Cover Chunk Merging: A Cost-Effective RAG-Sketch for Long-Context LLM QA,True,16,5,4,1,2,0,0,0,2,0,0,0,4,2,1,0,0,1,2,0,0,0,0,0,0,4,1,0,0,0,ok,upw|acm403
sigmod26-310,Estimating Biclique Counts with Accuracy Guarantees,True,16,5,4,3,2,0,0,0,0,0,0,0,1,5,1,0,0,0,12,0,0,0,0,1,0,0,0,0,2,0,ok,upw|acm403
sigmod26-351,Query Optimization for Database-Returning Queries,True,16,8,4,1,3,0,0,0,4,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,5,0,10,5,0,ok,upw|acm403
sigmod26-085,Efficient Influential Community Search over Dynamic Graphs,True,15,12,1,7,1,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ok,upw|acm403
sigmod26-087,Efficient Meta-subgraph Instance Search over Large Heterogeneous Information Networks,True,15,9,2,0,4,0,0,0,3,2,0,0,5,2,5,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,ok,upw|acm403
sigmod26-163,MTSP-LDP: A Framework for Multi-Task Streaming Data Publication under Local Differential Privacy,True,15,8,3,3,0,0,0,0,5,0,0,0,0,0,0,5,0,0,18,0,0,7,2,0,0,0,0,0,0,0,ok,arxiv
sigmod26-229,Stress-Testing Causal Claims via Cardinality Repairs,True,15,8,3,1,1,0,3,0,3,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,5,0,1,12,0,ok,arxiv
sigmod26-245,Towards Selecting Informative Alternative Relational Query Plans for Database Education,True,15,13,0,2,2,0,0,0,9,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,0,0,ok,upw|acm403
sigmod26-262,"A Fast, Mergeable, and LDP Compatible Sketch for Counting the Number of Distinct Values in Fully Dynamic Tables",True,15,6,4,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,0,0,9,2,0,0,0,114,1,100,0,ok,upw|acm403
sigmod26-280,Beyond Vector Search: Querying With and Without Predicates,True,15,5,4,3,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,ok,upw|acm403
sigmod26-334,MAVIS: Materialized View for Subgraph Matching,True,15,8,3,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,ok,upw|acm403
sigmod26-340,P 2 FedRec: Towards Privacy-Preserving and Personalized Federated Recommendation via Relationship Awareness,True,15,7,4,5,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,ok,upw|acm403
sigmod26-021,Analysis of Shuffling Beyond Pure Local Differential Privacy,True,14,12,0,5,3,2,0,0,2,0,0,0,0,22,20,0,2,5,6,0,0,2,0,0,0,17,0,0,0,0,ok,upw|acm403
sigmod26-082,Efficient and Effective Biclique Counting with Local Differential Privacy,True,14,10,1,5,0,0,0,0,5,0,0,0,0,3,0,0,0,0,2,0,0,22,0,0,0,1,0,1,0,0,ok,upw|acm403
sigmod26-095,Epoch-based Optimistic Concurrency Control in Geo-replicated Databases,True,14,5,4,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ok,arxiv
sigmod26-220,Shielding PII to Prevent Re-identification and Preserve Utility,True,14,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,5,0,1,0,1,4,0,0,0,ok,upw|acm403
sigmod26-279,Benchmarking Differentially Private Tabular Data Synthesis: [Experiments & Analysis],True,14,12,0,6,3,0,0,0,3,0,0,0,0,1,0,6,0,0,1,0,0,7,0,4,0,0,0,0,1,0,ok,arxiv
sigmod26-322,GraphTwin: Cache-Centric Bit-Level Graph Representation for Fast and Exact Graph Queries,True,14,4,4,4,0,0,0,0,0,0,0,0,6,0,0,29,0,0,2,0,0,0,1,0,0,4,4,0,1,0,ok,upw|acm403
